ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1018,G493127,08/19/2001 01:05:00 AM,073XX S DORCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0324,003,5,43,01A,1186808,1856707,2001,03/19/2019 04:11:22 PM,41.761915482,-87.590885285,"(41.761915482, -87.590885285)"
1019,G494503,08/19/2001 04:34:00 PM,060XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0313,003,20,42,01A,1180958,1865075,2001,03/19/2019 04:11:22 PM,41.785014658,-87.612068766,"(41.785014658, -87.612068766)"
11823422,JC387223,08/10/2019 07:13:00 PM,004XX E 61ST ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0313,003,20,42,01B,1180077,1864658,2019,10/21/2019 04:10:36 PM,41.783890605,-87.615311631,"(41.783890605, -87.615311631)"
1064,G538725,09/08/2001 02:38:00 PM,069XX S STONY ISLAND  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0332,003,,,01A,1188124,1859115,2001,03/18/2019 04:08:09 PM,41.768491974,-87.585985384,"(41.768491974, -87.585985384)"
1070,G539798,09/10/2001 04:50:00 PM,073XX S DANTE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0324,003,5,43,01A,1187144,1856544,2001,03/18/2019 04:08:09 PM,41.761460231,-87.589658989,"(41.761460231, -87.589658989)"
1082,G555677,09/16/2001 03:38:00 PM,062XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0311,003,20,40,01A,1179993,1863671,2001,03/18/2019 04:08:09 PM,41.781184105,-87.615649806,"(41.781184105, -87.615649806)"
1101,G576571,09/25/2001 11:39:00 PM,064XX S STATE STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0312,003,,,01A,1177392,1862132,2001,03/19/2019 04:11:22 PM,41.777020104,-87.625232019,"(41.777020104, -87.625232019)"
1105,G584856,09/26/2001 10:00:00 AM,068XX S ST. LAWRENCE AV,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0321,003,,,01A,1181417,1859831,2001,03/19/2019 04:11:22 PM,41.77061404,-87.610547492,"(41.77061404, -87.610547492)"
1109,G583586,09/29/2001 04:58:00 AM,069XX S DORCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,COACH HOUSE,true,true,0321,003,5,43,01A,1186741,1859087,2001,03/19/2019 04:11:22 PM,41.768448004,-87.591055569,"(41.768448004, -87.591055569)"
1128,G596121,10/04/2001 06:20:00 PM,020XX E 71 ST,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,false,false,0331,003,,,01A,1190984,1858323,2001,03/19/2019 04:11:22 PM,41.766249991,-87.575527839,"(41.766249991, -87.575527839)"
1132,G599389,10/06/2001 05:16:00 AM,064XX S DREXEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0312,003,20,42,01A,1183501,1862441,2001,03/19/2019 04:11:22 PM,41.77772781,-87.602827178,"(41.77772781, -87.602827178)"
1157,G625393,10/18/2001 01:30:00 AM,066XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,0321,003,20,42,01A,1181045,1861011,2001,03/19/2019 04:11:22 PM,41.773860649,-87.611874802,"(41.773860649, -87.611874802)"
11507837,JB516353,11/15/2018 01:04:00 AM,071XX S STATE ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0323,003,6,69,01B,1177519,1857812,2018,04/13/2019 03:55:48 PM,41.765162688,-87.624896894,"(41.765162688, -87.624896894)"
1152,G620205,10/15/2001 05:10:00 PM,064XX S LANGLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0312,003,20,42,01A,1181999,1862482,2001,03/19/2019 04:11:22 PM,41.777875199,-87.608332208,"(41.777875199, -87.608332208)"
1354,HH180733,02/11/2002 02:00:00 PM,065XX S PROMONTARY DR.,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,0331,003,,,01A,1192511,1861926,2002,03/19/2019 04:11:22 PM,41.776099836,-87.569813696,"(41.776099836, -87.569813696)"
1359,HH199124,02/20/2002 09:56:00 PM,070XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0322,003,6,69,01A,1178382,1858306,2002,03/19/2019 04:11:22 PM,41.766498729,-87.621718782,"(41.766498729, -87.621718782)"
1210,G680794,11/12/2001 10:03:00 AM,074XX S LUELLA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0333,003,7,43,01A,1192502,1856084,2001,03/18/2019 04:08:09 PM,41.760069167,-87.570036745,"(41.760069167, -87.570036745)"
1212,G684456,11/13/2001 10:45:00 PM,073XX S PHILLIPS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0334,003,7,43,01A,1193921,1856721,2001,03/18/2019 04:08:09 PM,41.761782474,-87.564815341,"(41.761782474, -87.564815341)"
1229,G694994,11/18/2001 11:15:00 PM,020XX E 67 STREET,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0331,003,,,01A,1191168,1860954,2001,03/19/2019 04:11:22 PM,41.773465209,-87.574768371,"(41.773465209, -87.574768371)"
1247,G718132,11/29/2001 09:00:00 AM,074XX S KIMBARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0324,003,5,43,01A,1186166,1856009,2001,03/19/2019 04:11:22 PM,41.760015287,-87.593260266,"(41.760015287, -87.593260266)"
1273,G746173,12/13/2001 06:30:00 PM,067XX S EAST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0332,003,5,43,01A,1188698,1860534,2001,03/19/2019 04:11:22 PM,41.772372122,-87.5838361,"(41.772372122, -87.5838361)"
